[(-94, -87), (-23, 126), (122, -39)]
[(-94, 87), (-23, -126), (122, 39)]
[(-359, 322), (-94, -473), (458, 151)]
[(-6, 7), (2, -9), (9, 2)]
[(-6, 7), (2, -9), (9, 2)]
[(-12, -1), (8, 9), (9, -8)]
[(-12, 1), (8, -9), (9, 8)]
[(-118, 81), (-6, -143), (129, 62)]
[(-6, -7), (2, 9), (9, -2)]
[(-6, 7), (2, -9), (9, 2)]
[(-118, 81), (-6, -143), (129, 62)]
[(-52, -81), (-39, 88), (96, -7)]
[(-52, 81), (-39, -88), (96, 7)]
[(-475, 360), (-69, -592), (549, 232)]
[(-30, 5), (14, -27), (21, 22)]
[(-30, 5), (14, -27), (21, 22)]
[(-4, 7), (1, -8), (8, 1)]
[(-4, 7), (1, -8), (8, 1)]
[(-35, -20), (5, 40), (35, -20)]
[(-30, -35), (-10, 45), (45, -10)]
[(-30, -5), (14, 27), (21, -22)]
[(-30, 5), (14, -27), (21, 22)]
[(-30, 35), (-10, -45), (45, 10)]
[(-40, -75), (-40, 75), (85, 0)]
[(-40, -75), (-40, 75), (85, 0)]
[(-25, -40), (-17, 44), (47, -4)]
[(-25, 0), (15, -20), (15, 20)]
[(-25, 40), (-17, -44), (47, 4)]
[(-94, 87), (-23, -126), (122, 39)]
[(-23, -24), (-4, 33), (32, -9)]
[(-23, 24), (-4, -33), (32, 9)]
[(-94, 87), (-23, -126), (122, 39)]
[(-25, 40), (-17, -44), (47, 4)]
[(-25, 40), (-17, -44), (47, 4)]
[(-12, 1), (8, -9), (9, 8)]
[(-6, 7), (2, -9), (9, 2)]
[(-6, -7), (2, 9), (9, -2)]
[(-12, -1), (8, 9), (9, -8)]
[(-30, 5), (14, -27), (21, 22)]
[(-30, -5), (14, 27), (21, -22)]
[(0, -5), (0, 5), (5, 0)]
[(0, -5), (0, 5), (5, 0)]
[(-23, 24), (-4, -33), (32, 9)]
[(-4, -7), (1, 8), (8, -1)]
[(-4, -3), (4, 3), (5, 0)]
[(-4, 3), (4, -3), (5, 0)]
[(-4, 7), (1, -8), (8, 1)]
[(-23, 24), (-4, -33), (32, 9)]
[(-76, 87), (-32, -111), (113, 24)]
[(-76, 87), (-32, -111), (113, 24)]
[(-52, 81), (-39, -88), (96, 7)]
[(-52, 81), (-39, -88), (96, 7)]
[(-12, 1), (8, -9), (9, 8)]
[(-4, 7), (1, -8), (8, 1)]
[(-4, -7), (1, 8), (8, -1)]
[(-12, 1), (8, -9), (9, 8)]
[(-1810, 1045), (5, -2090), (1810, 1045)]
[(-485, 280), (5, -560), (485, 280)]
[(-130, 75), (5, -150), (130, 75)]
[(-35, 20), (5, -40), (35, 20)]
[(-10, 5), (5, -10), (10, 5)]
[(-4, 3), (4, -3), (5, 0)]
[(-3, 4), (3, -4), (5, 0)]
[(0, -5), (0, 5), (5, 0)]
[(-3, -4), (3, 4), (5, 0)]
[(-4, -3), (4, 3), (5, 0)]
[(-10, 5), (5, -10), (10, 5)]
[(-35, 20), (5, -40), (35, 20)]
[(-130, 75), (5, -150), (130, 75)]
[(-485, 280), (5, -560), (485, 280)]
[(-1810, 1045), (5, -2090), (1810, 1045)]
[(-160, 45), (45, -160), (120, 115)]
[(-30, 35), (-10, -45), (45, 10)]
[(-30, -35), (-10, 45), (45, -10)]
[(-160, 45), (45, -160), (120, 115)]
[(-23, 24), (-4, -33), (32, 9)]
[(-23, -24), (-4, 33), (32, -9)]
[(-4, 3), (4, -3), (5, 0)]
[(-4, -3), (4, 3), (5, 0)]
[(-172, 9), (81, -152), (96, 143)]
[(-172, 9), (81, -152), (96, 143)]
[(-3, -4), (3, 4), (5, 0)]
[(-3, 4), (3, -4), (5, 0)]
[(-3, 4), (3, -4), (5, 0)]
[(-3, -4), (3, 4), (5, 0)]
[(-34, 13), (10, -35), (29, 22)]
[(-10, -5), (5, 10), (10, -5)]
[(-34, 13), (10, -35), (29, 22)]
[(-25, 0), (15, -20), (15, 20)]
[(-25, 0), (15, -20), (15, 20)]
[(-172, 9), (81, -152), (96, 143)]
[(-52, 81), (-39, -88), (96, 7)]
[(-52, -81), (-39, 88), (96, -7)]
[(-172, -9), (81, 152), (96, -143)]
[(-166, 33), (58, -159), (113, 126)]
[(-166, 33), (58, -159), (113, 126)]
[(-124, 43), (29, -128), (100, 85)]
[(-34, 13), (10, -35), (29, 22)]
[(-34, -13), (10, 35), (29, -22)]
[(-124, 43), (29, -128), (100, 85)]
[(-483, 244), (35, -540), (453, 296)]
[(-35, -20), (5, 40), (35, -20)]
[(-483, 244), (35, -540), (453, 296)]
[(-160, 45), (45, -160), (120, 115)]
[(-160, -45), (45, 160), (120, -115)]
[(-240, 35), (93, -224), (152, 189)]
[(-240, 35), (93, -224), (152, 189)]
[(-25, 40), (-17, -44), (47, 4)]
[(-25, -40), (-17, 44), (47, -4)]
[(-460, 155), (100, -475), (365, 320)]
[(-124, 43), (29, -128), (100, 85)]
[(-124, -43), (29, 128), (100, -85)]
[(-460, 155), (100, -475), (365, 320)]
[(-130, -75), (5, 150), (130, -75)]
[(-40, -75), (-40, 75), (85, 0)]
[(-118, 81), (-6, -143), (129, 62)]
[(-118, -81), (-6, 143), (129, -62)]
[(-251, 32), (101, -232), (155, 200)]
[(-251, 32), (101, -232), (155, 200)]
[(-420, 85), (140, -405), (285, 320)]
[(-166, 33), (58, -159), (113, 126)]
[(-76, 87), (-32, -111), (113, 24)]
[(-76, -87), (-32, 111), (113, -24)]
[(-166, -33), (58, 159), (113, -126)]
[(-355, 20), (163, -316), (197, 296)]
[(-355, 20), (163, -316), (197, 296)]
[(-355, 20), (163, -316), (197, 296)]
[(-355, -20), (163, 316), (197, -296)]
[(-240, 35), (93, -224), (152, 189)]
[(-240, -35), (93, 224), (152, -189)]
[(-94, 87), (-23, -126), (122, 39)]
[(-94, -87), (-23, 126), (122, -39)]
[(-325, 0), (165, -280), (165, 280)]
[(-325, 0), (165, -280), (165, 280)]
[(-251, 32), (101, -232), (155, 200)]
[(-251, -32), (101, 232), (155, -200)]
[(-1714, 573), (365, -1770), (1354, 1197)]
[(-460, -155), (100, 475), (365, -320)]
[(-420, 85), (140, -405), (285, 320)]
[(-420, -85), (140, 405), (285, -320)]
[(-483, 244), (35, -540), (453, 296)]
[(-483, -244), (35, 540), (453, -296)]
[(-6723, 3364), (453, -7504), (6275, 4140)]
[(-1027, 86), (442, -931), (590, 845)]
[(-485, -280), (5, 560), (485, -280)]
[(-359, 322), (-94, -473), (458, 151)]
[(-359, -322), (-94, 473), (458, -151)]
[(-475, 360), (-69, -592), (549, 232)]
[(-472, 371), (-80, -595), (557, 224)]
[(-472, -371), (-80, 595), (557, -224)]
[(-1027, 86), (442, -931), (590, 845)]
[(-2250, 605), (605, -2250), (1650, 1645)]
[(-440, 445), (-160, -605), (605, 160)]
[(-440, -445), (-160, 605), (605, -160)]
[(-2250, 605), (605, -2250), (1650, 1645)]
[(-420, 475), (-196, -603), (621, 128)]
[(-420, -475), (-196, 603), (621, -128)]
[(-355, -540), (-285, 580), (645, -40)]
[(-2316, 473), (752, -2241), (1569, 1768)]
[(-2316, 473), (752, -2241), (1569, 1768)]
[(-2939, 552), (995, -2820), (1949, 2268)]
[(-2404, 143), (1081, -2152), (1328, 2009)]
[(-600, -1045), (-600, 1045), (1205, 0)]
[(-1714, 573), (365, -1770), (1354, 1197)]
[(-6394, 2133), (1354, -6603), (5045, 4470)]
[(-2404, 143), (1081, -2152), (1328, 2009)]
[(-732, 1111), (-591, -1192), (1328, 81)]
[(-2404, -143), (1081, 2152), (1328, -2009)]
[(-1062, 1199), (-502, -1521), (1569, 322)]
[(-1062, -1199), (-502, 1521), (1569, -322)]
[(-2316, -473), (752, 2241), (1569, -1768)]
[(-6225, 1780), (1575, -6280), (4655, 4500)]
[(-2250, -605), (605, 2250), (1650, -1645)]
[(-6075, 1520), (1725, -6020), (4355, 4500)]
[(-3882, 299), (1685, -3510), (2202, 3211)]
[(-1348, -1199), (-359, 1768), (1712, -569)]
[(-1810, -1045), (5, 2090), (1810, -1045)]
[(-1678, 1111), (-118, -2009), (1801, 898)]
[(-1678, -1111), (-118, 2009), (1801, -898)]
[(-2641, 588), (815, -2580), (1831, 1992)]
[(-4158, 181), (1925, -3690), (2238, 3509)]
[(-4158, 181), (1925, -3690), (2238, 3509)]
[(-3882, -299), (1685, 3510), (2202, -3211)]
[(-4158, -181), (1925, 3690), (2238, -3509)]
[(-4953, 296), (2223, -4436), (2735, 4140)]
[(-7327, 846), (2934, -6767), (4398, 5921)]
[(-5854, 1197), (1894, -5667), (3965, 4470)]
[(-6075, 1520), (1725, -6020), (4355, 4500)]
[(-6225, 1780), (1575, -6280), (4655, 4500)]
[(-6225, -1780), (1575, 6280), (4655, -4500)]
[(-2543, 4056), (-2236, -4233), (4784, 177)]
[(-3790, -3565), (-1187, 5066), (4982, -1501)]
[(-6394, -2133), (1354, 6603), (5045, -4470)]
[(-6723, 3364), (453, -7504), (6275, 4140)]
[(-6723, -3364), (453, 7504), (6275, -4140)]
[(-7847, 3016), (1316, -8303), (6536, 5287)]
[(-6738, 4291), (-342, -7981), (7085, 3690)]
[(-6738, -4291), (-342, 7981), (7085, -3690)]
[(-6702, 4589), (-618, -8099), (7325, 3510)]
[(-6702, -4589), (-618, 8099), (7325, -3510)]
[(-13108, 1581), (5188, -12141), (7925, 10560)]
[(-6331, 5808), (-1859, -8388), (8195, 2580)]
[(-6331, -5808), (-1859, 8388), (8195, -2580)]
[(-6150, -6155), (-2250, 8405), (8405, -2250)]
[(-5854, -6603), (-2786, 8373), (8645, -1770)]
[(-4953, 7504), (-4017, -8044), (8975, 540)]
[(-4953, -7504), (-4017, 8044), (8975, -540)]
[(-4630, 7725), (-4370, -7875), (9005, 150)]
[(-4630, -7725), (-4370, 7875), (9005, -150)]
[(-13797, 5896), (1797, -14896), (12005, 9000)]
[(-38308, 8019), (12213, -37184), (26100, 29165)]
[(-38308, 8019), (12213, -37184), (26100, 29165)]
[(-39420, 7885), (12885, -38080), (26540, 30195)]
[(-39420, 7885), (12885, -38080), (26540, 30195)]
[(-10204, -15457), (-8279, 16568), (18488, -1111)]
[(-38308, 8019), (12213, -37184), (26100, 29165)]
[(-38308, -8019), (12213, 37184), (26100, -29165)]
[(-39420, 7885), (12885, -38080), (26540, 30195)]
[(-39420, -7885), (12885, 38080), (26540, -30195)]
[(-37106, -19057), (2054, 41663), (35057, -22606)]
[(-74574, -13161), (36874, 8935), (37705, 4226)]
[(-74574, -13161), (36874, 8935), (37705, 4226)]
[(-47048, 45665), (1388, 1383), (45665, -47048)]
