Date,Optimal,FSEAX,VOO,BND,ONEQ,AGG,GLD,LQD
2000-08-01,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-02,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-03,0.999985,0.996604,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-04,1.000012,1.002718,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-07,0.999964,0.991848,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-08,0.999921,0.982337,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-09,1.000015,1.003397,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-10,1.000070,1.015625,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-11,1.000036,1.008152,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-14,1.000036,1.008152,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-15,1.000085,1.019022,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-16,1.000194,1.043478,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-17,1.000218,1.048913,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-18,1.000151,1.033968,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-21,1.000142,1.031929,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-22,1.000166,1.037365,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-23,1.000106,1.023777,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-24,1.000097,1.021739,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-25,1.000097,1.021739,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-28,1.000067,1.014946,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-29,1.000079,1.017663,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-30,1.000024,1.005435,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-08-31,0.999988,0.997283,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-01,0.999988,0.997283,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-05,1.000048,1.010870,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-06,1.000009,1.002038,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-07,0.999909,0.979620,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-08,0.999864,0.969430,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-11,0.999828,0.961277,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-12,0.999779,0.950408,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-13,0.999776,0.949728,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-14,0.999725,0.938180,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-15,0.999667,0.925272,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-18,0.999510,0.889946,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-19,0.999534,0.895381,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-20,0.999558,0.900815,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-21,0.999489,0.885190,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-22,0.999322,0.847826,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-25,0.999446,0.875680,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-26,0.999474,0.881794,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-27,0.999495,0.886549,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-28,0.999504,0.888587,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-09-29,0.999501,0.887908,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000-10-02,0.999413,0.868207,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
