Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2000-08-01,15.04035758972168,29.125,0.0,29.25,28.3125,28.3125,0.0,2133400
2000-08-02,14.846707344055176,28.75,0.0,30.5625,28.5625,29.5,0.0,4871600
2000-08-03,14.65304946899414,28.375,0.0,29.375,28.25,28.4375,0.0,3564500
2000-08-04,14.878981590270996,28.8125,0.0,29.875,28.8125,28.9375,0.0,1693900
2000-08-07,15.20174503326416,29.4375,0.0,30.0625,29.0625,29.375,0.0,2267400
2000-08-08,15.072626113891602,29.1875,0.0,29.6875,28.875,29.5,0.0,2136500
2000-08-09,15.234007835388184,29.5,0.0,29.8125,29.3125,29.5,0.0,2286100
2000-08-10,15.298556327819824,29.625,0.0,29.875,29.4375,29.625,0.0,750600
2000-08-11,15.298556327819824,29.625,0.0,29.875,29.25,29.25,0.0,685100
2000-08-14,15.104907989501953,29.25,0.0,30.0,28.875,29.625,0.0,1772500
2000-08-15,14.878981590270996,28.8125,0.0,29.3125,28.8125,29.0,0.0,924700
2000-08-16,14.45940113067627,28.0,0.0,28.5,27.75,28.5,0.0,1765300
2000-08-17,14.298023223876953,27.6875,0.0,28.28125,27.4375,27.75,0.0,979900
2000-08-18,14.427123069763184,27.9375,0.0,28.0,27.5,27.5625,0.0,522200
2000-08-21,14.685324668884277,28.4375,0.0,28.875,27.6875,27.9375,0.0,390000
2000-08-22,15.072626113891602,29.1875,0.0,29.3125,28.0625,28.0625,0.0,876900
2000-08-23,14.65304946899414,28.375,0.0,28.875,28.125,28.5,0.0,716000
2000-08-24,14.685324668884277,28.4375,0.0,28.6875,27.875,28.1875,0.0,596300
2000-08-25,14.814434051513672,28.6875,0.0,29.125,28.5,28.5,0.0,634900
2000-08-28,14.62077808380127,28.3125,0.0,29.125,28.3125,29.125,0.0,333800
2000-08-29,14.233473777770996,27.5625,0.0,28.3125,27.375,28.3125,0.0,769400
2000-08-30,14.420122146606445,27.8125,0.11,28.0,27.25,27.5625,0.0,861700
2000-08-31,14.711771011352539,28.375,0.0,28.9375,27.6875,27.6875,0.0,1275400
2000-09-01,14.549744606018066,28.0625,0.0,28.8125,28.0,28.8125,0.0,546400
2000-09-05,14.646953582763672,28.25,0.0,28.25,27.25,28.1875,0.0,633300
2000-09-06,14.970996856689453,28.875,0.0,29.25,27.0,27.0,0.0,1843000
2000-09-07,15.651500701904297,30.1875,0.0,30.3125,28.9375,29.0,0.0,1783700
2000-09-08,15.52188777923584,29.9375,0.0,30.4375,29.375,30.125,0.0,1819900
2000-09-11,15.457077026367188,29.8125,0.0,30.875,29.6875,30.0,0.0,1067800
2000-09-12,15.295040130615234,29.5,0.0,30.1875,29.5,30.1875,0.0,792400
2000-09-13,15.392267227172852,29.6875,0.0,29.75,29.1875,29.5625,0.0,1361100
2000-09-14,15.230237007141113,29.375,0.0,29.8125,29.0,29.3125,0.0,838600
