<<<<<<< HEAD
Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SI,SI,SI,SI,SI,SI
Date,,,,,,
=======
Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,SI,SI,SI,SI,SI,SI,SI
Date,,,,,,,
2025-07-31,15.050000190734863,0.0,17.940000534057617,14.699999809265137,15.600000381469727,0.0,1978200
2025-08-01,14.25,0.0,14.880000114440918,13.050000190734863,14.119999885559082,0.0,454200
2025-08-04,14.270000457763672,0.0,14.649999618530273,13.850000381469727,14.3100004196167,0.0,285300
2025-08-05,14.15999984741211,0.0,14.479999542236328,13.779999732971191,14.079999923706055,0.0,307900
2025-08-06,13.0600004196167,0.0,14.069999694824219,13.010000228881836,14.069999694824219,0.0,224800
2025-08-07,12.15999984741211,0.0,13.0600004196167,11.75,12.0,0.0,334500
2025-08-08,12.40999984741211,0.0,12.760000228881836,11.979999542236328,11.979999542236328,0.0,142200
2025-08-11,12.149999618530273,0.0,12.876999855041504,11.970000267028809,12.5,0.0,207600
2025-08-12,13.149999618530273,0.0,13.170000076293945,11.970000267028809,11.970000267028809,0.0,124800
2025-08-13,13.140000343322754,0.0,13.40999984741211,12.583999633789062,13.25,0.0,102500
2025-08-14,13.760000228881836,0.0,13.760000228881836,13.010000228881836,13.25,0.0,116300
2025-08-15,14.09000015258789,0.0,14.1850004196167,13.619999885559082,14.09000015258789,0.0,83600
>>>>>>> e834f0da99848b39036854b69e64195abc3be68f
