Date,Price,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,
2000-10-03,90.95195007324219,0.0,142.5,0.0,145.75,142.28125,144.53125,0.0,9347200
2000-10-04,91.70987701416016,0.0,143.6875,0.0,144.25,141.75,142.875,0.0,6148900
2000-10-05,92.0290298461914,0.0,144.1875,0.0,144.84375,143.3125,143.40625,0.0,4566900
2000-10-06,90.03440856933594,0.0,141.0625,0.0,144.640625,139.75,143.875,0.0,10014900
2000-10-09,89.3563003540039,0.0,140.0,0.0,141.3125,139.375,141.3125,0.0,4508000
2000-10-10,87.88034057617188,0.0,137.6875,0.0,141.25,137.6875,140.09375,0.0,6104700
2000-10-11,87.14234161376953,0.0,136.53125,0.0,138.625,135.125,137.625,0.0,10346000
2000-10-12,84.96822357177734,0.0,133.125,0.0,137.59375,132.78125,137.28125,0.0,12336900
2000-10-13,87.800537109375,0.0,137.5625,0.0,137.65625,132.875,132.9375,0.0,11778800
2000-10-16,88.199462890625,0.0,138.1875,0.0,138.234375,136.6875,137.40625,0.0,5659000
2000-10-17,86.00541687011719,0.0,134.75,0.0,138.5625,134.40625,138.4375,0.0,7831700
2000-10-18,85.68630981445312,0.0,134.25,0.0,136.125,130.15625,132.625,0.0,10897300
2000-10-19,88.91747283935547,0.0,139.3125,0.0,139.453125,136.4375,136.84375,0.0,8767300
2000-10-20,89.29647827148438,0.0,139.90625,0.0,141.1875,138.375,138.375,0.0,7373500
2000-10-23,89.69535827636719,0.0,140.53125,0.0,141.03125,138.9375,139.9375,0.0,5290000
2000-10-24,89.09700775146484,0.0,139.59375,0.0,141.9375,139.0,140.96875,0.0,5750700
2000-10-25,87.00269317626953,0.0,136.3125,0.0,139.5625,136.125,138.75,0.0,9137600
2000-10-26,87.24205017089844,0.0,136.6875,0.0,137.65625,134.03125,137.125,0.0,9345800
2000-10-27,88.89754486083984,0.0,139.28125,0.0,139.28125,136.625,137.875,0.0,9762900
2000-10-30,89.69535827636719,0.0,140.53125,0.0,141.09375,138.15625,138.4375,0.0,10154100
2000-10-31,91.24114990234375,0.0,142.953125,0.0,143.6875,140.0625,141.015625,0.0,7752400
2000-11-01,90.93199157714844,0.0,142.46875,0.0,143.25,141.21875,142.25,0.0,6753600
2000-11-02,91.08160400390625,0.0,142.703125,0.0,143.90625,142.515625,143.15625,0.0,11395100
2000-11-03,91.13146209716797,0.0,142.78125,0.0,143.75,142.375,143.46875,0.0,5187100
2000-11-06,91.76969909667969,0.0,143.78125,0.0,144.296875,143.03125,143.15625,0.0,4042500
2000-11-07,91.74974060058594,0.0,143.75,0.0,144.0,142.5625,143.140625,0.0,5231300
2000-11-08,89.71533203125,0.0,140.5625,0.0,144.0625,140.5625,144.0625,0.0,6123300
2000-11-09,89.37625122070312,0.0,140.03125,0.0,141.21875,137.25,140.0,0.0,10635300
2000-11-10,87.20217895507812,0.0,136.625,0.0,139.46875,136.53125,139.0,0.0,8569500
2000-11-13,86.52401733398438,0.0,135.5625,0.0,136.984375,133.015625,135.625,0.0,17285300
2000-11-14,88.79783630371094,0.0,139.125,0.0,139.625,137.0,137.46875,0.0,7668900
2000-11-15,89.0770263671875,0.0,139.5625,0.0,140.109375,137.75,139.0625,0.0,8837700
2000-11-16,87.68091583251953,0.0,137.375,0.0,139.875,137.3125,138.578125,0.0,6684100
2000-11-17,87.2121353149414,0.0,136.640625,0.0,139.0,135.75,137.3125,0.0,6551100
2000-11-20,85.96553802490234,0.0,134.6875,0.0,136.375,134.3125,135.75,0.0,5458500
