Date,Adj Close,Close,High,Low,Open,Volume,Dividends,Stock Splits
2014-07-21,183.75999450683594,183.75999450683594,183.75999450683594,183.75999450683594,183.75999450683594,30,0,0
2014-07-22,181.64999389648438,181.64999389648438,181.80999755859375,181.64999389648438,181.80999755859375,200,0,0
2014-07-23,181.2100067138672,181.2100067138672,181.2100067138672,181.2100067138672,181.2100067138672,0,0,0
2014-07-24,181.41000366210938,181.41000366210938,182.3699951171875,181.41000366210938,182.3699951171875,106,0,0
2014-07-25,180.0,180.0,181.07000732421875,180.0,181.07000732421875,165,0,0
2014-07-28,179.30999755859375,179.30999755859375,179.30999755859375,179.30999755859375,179.30999755859375,0,0,0
2014-07-29,176.0,176.0,176.0,175.1999969482422,175.1999969482422,17,0,0
2014-07-30,176.80999755859375,176.80999755859375,176.80999755859375,176.80999755859375,176.80999755859375,200,0,0
2014-07-31,173.60000610351562,173.60000610351562,173.60000610351562,173.60000610351562,173.60000610351562,0,0,0
2014-08-01,169.60000610351562,169.60000610351562,172.94000244140625,169.60000610351562,172.94000244140625,500,0,0
2014-08-04,173.3000030517578,173.3000030517578,173.3000030517578,171.5399932861328,171.5399932861328,70,0,0
2014-08-05,172.22999572753906,172.22999572753906,172.22999572753906,172.22999572753906,172.22999572753906,0,0,0
2014-08-06,164.14999389648438,164.14999389648438,166.8800048828125,164.0500030517578,166.8800048828125,29,0,0
2014-08-07,167.39999389648438,167.39999389648438,167.39999389648438,166.11000061035156,166.11000061035156,12,0,0
2014-08-08,164.7100067138672,164.7100067138672,164.7100067138672,162.3000030517578,162.3000030517578,100,0,0
2014-08-11,165.89999389648438,165.89999389648438,165.89999389648438,165.89999389648438,165.89999389648438,15,0,0
2014-08-12,167.75,167.75,167.75,167.75,167.75,0,0,0
2014-08-13,166.97999572753906,166.97999572753906,166.97999572753906,166.97999572753906,166.97999572753906,0,0,0
2014-08-14,168.39999389648438,168.39999389648438,168.39999389648438,168.39999389648438,168.39999389648438,15,0,0
